home_score,away_score,home_team,away_team,date,win_score,lost_score
0,10,UMass,Amherst College,1887-10-15T00:00:00.000Z,10,0
20,0,Lafayette,Rutgers,1887-10-15T00:00:00.000Z,20,0
2,5,Stevens,Rutgers,1887-10-19T00:00:00.000Z,5,2
32,4,Trinity (CT),UMass,1887-10-19T00:00:00.000Z,32,4
12,6,Williams,Rutgers,1887-10-29T00:00:00.000Z,12,6
13,10,Pennsylvania,Rutgers,1887-11-02T00:00:00.000Z,13,10
74,0,Yale,Rutgers,1887-11-05T00:00:00.000Z,74,0
0,36,Rutgers,Lafayette,1887-11-12T00:00:00.000Z,36,0
65,0,Yale,Rutgers,1888-10-06T00:00:00.000Z,65,0
0,4,Rutgers,Lafayette,1888-10-20T00:00:00.000Z,4,0
0,80,Rutgers,Princeton,1888-10-24T00:00:00.000Z,80,0
82,0,Princeton,Rutgers,1888-10-27T00:00:00.000Z,82,0
34,0,Trinity (CT),UMass,1888-10-27T00:00:00.000Z,34,0
18,18,Stevens,Rutgers,1888-11-01T00:00:00.000Z,18,18
0,42,Rutgers,Williams,1888-11-02T00:00:00.000Z,42,0
0,30,Penn State,Lehigh,1888-11-03T00:00:00.000Z,30,0
6,18,Ridgefield A.C.,Rutgers,1888-11-05T00:00:00.000Z,18,6
30,0,Lehigh,Rutgers,1888-11-07T00:00:00.000Z,30,0
58,0,Amherst College,UMass,1888-11-17T00:00:00.000Z,58,0
4,45,UMass,Amherst College,1888-11-24T00:00:00.000Z,45,4
9,20,Navy,Pennsylvania,1888-12-01T00:00:00.000Z,20,9
0,4,Rutgers,Pennsylvania,1889-10-12T00:00:00.000Z,4,0
0,16,Rutgers,Lafayette,1889-10-16T00:00:00.000Z,16,0
58,4,Wesleyan (CT),Rutgers,1889-10-19T00:00:00.000Z,58,4
20,6,Penn State,Swarthmore,1889-10-26T00:00:00.000Z,20,6
18,0,Rutgers,Ridgefield A.C.,1889-11-01T00:00:00.000Z,18,0
26,0,Lafayette,Penn State,1889-11-09T00:00:00.000Z,26,0
0,0,Dickinson,Navy,1889-11-09T00:00:00.000Z,0,0
106,0,Lehigh,Penn State,1889-11-11T00:00:00.000Z,106,0
14,0,Pennsylvania,Rutgers,1889-11-16T00:00:00.000Z,14,0
66,0,Cornell,Michigan,1889-11-23T00:00:00.000Z,66,0
12,0,Penn State,Bucknell,1889-11-25T00:00:00.000Z,12,0
6,26,Navy,Lehigh,1889-11-28T00:00:00.000Z,26,6
12,24,Virginia,Lehigh,1889-12-02T00:00:00.000Z,24,12
16,4,Pennsylvania,Rutgers,1890-10-04T00:00:00.000Z,16,4
27,0,Princeton,Rutgers,1890-10-08T00:00:00.000Z,27,0
20,0,Pennsylvania,Penn State,1890-10-11T00:00:00.000Z,20,0
10,0,Franklin & Marshall,Penn State,1890-10-12T00:00:00.000Z,10,0
0,30,New York A.C.,Rutgers,1890-10-18T00:00:00.000Z,30,0
4,6,Orange A.C.,Rutgers,1890-10-25T00:00:00.000Z,6,4
72,0,Pennsylvania,Virginia,1890-10-31T00:00:00.000Z,72,0
115,0,Princeton,Virginia,1890-11-01T00:00:00.000Z,115,0
0,30,UMass,Trinity (CT),1890-11-01T00:00:00.000Z,30,0
0,52,UMass,Amherst College,1890-11-04T00:00:00.000Z,52,0
2,4,Rutgers,Lehigh,1890-11-04T00:00:00.000Z,4,2
32,6,Navy,Dickinson,1890-11-08T00:00:00.000Z,32,6
136,0,Virginia,Randolph-Macon,1890-11-08T00:00:00.000Z,136,0
70,0,Yale,Rutgers,1890-11-08T00:00:00.000Z,70,0
14,10,Virginia,Dickinson,1890-11-10T00:00:00.000Z,14,10
68,0,Rutgers,Crescent A.C.,1890-11-11T00:00:00.000Z,68,0
62,0,Rutgers,New York University,1890-11-14T00:00:00.000Z,62,0
5,20,Michigan,Cornell,1890-11-15T00:00:00.000Z,20,5
6,6,Rutgers,Columbia,1890-11-15T00:00:00.000Z,6,6
0,46,Washington & Lee,Virginia,1890-11-15T00:00:00.000Z,46,0
20,6,Virginia,Lafayette,1890-11-21T00:00:00.000Z,20,6
32,0,Rutgers,Manhattan A.C.,1890-11-22T00:00:00.000Z,32,0
4,24,Navy,Lehigh,1890-11-27T00:00:00.000Z,24,4
10,4,Virginia,Duke,1890-11-27T00:00:00.000Z,10,4
20,12,Pennsylvania,Rutgers,1890-12-13T00:00:00.000Z,20,12
4,14,Lafayette,Penn State,1891-10-02T00:00:00.000Z,14,4
12,0,Princeton,Rutgers,1891-10-03T00:00:00.000Z,12,0
24,2,Lehigh,Penn State,1891-10-03T00:00:00.000Z,24,2
68,0,Cornell,Syracuse,1891-10-03T00:00:00.000Z,68,0
10,6,Orange A.C.,Rutgers,1891-10-10T00:00:00.000Z,10,6
0,24,Schuylkill Navy,Rutgers,1891-10-13T00:00:00.000Z,24,0
16,0,Trinity (CT),UMass,1891-10-14T00:00:00.000Z,16,0
22,0,Lehigh,Rutgers,1891-10-17T00:00:00.000Z,22,0
