home_score,away_score,home_team,away_team,date,win_score,lost_score
0,46,Washington & Lee,Virginia,1890-11-15T00:00:00.000Z,46,0
32,0,Rutgers,Manhattan A.C.,1890-11-22T00:00:00.000Z,32,0
4,24,Navy,Lehigh,1890-11-27T00:00:00.000Z,24,4
10,4,Virginia,Duke,1890-11-27T00:00:00.000Z,10,4
20,12,Pennsylvania,Rutgers,1890-12-13T00:00:00.000Z,20,12
4,14,Lafayette,Penn State,1891-10-02T00:00:00.000Z,14,4
24,2,Lehigh,Penn State,1891-10-03T00:00:00.000Z,24,2
10,6,Orange A.C.,Rutgers,1891-10-10T00:00:00.000Z,10,6
0,24,Schuylkill Navy,Rutgers,1891-10-13T00:00:00.000Z,24,0
22,0,Lehigh,Rutgers,1891-10-17T00:00:00.000Z,22,0
0,44,Swarthmore,Penn State,1891-10-17T00:00:00.000Z,44,0
28,6,Navy,St. John's (Maryland),1891-10-24T00:00:00.000Z,28,6
12,10,Rutgers,Stevens,1891-10-24T00:00:00.000Z,12,10
21,12,Navy,Rutgers,1891-10-31T00:00:00.000Z,21,12
20,4,Amherst College,UMass,1891-10-31T00:00:00.000Z,20,4
12,12,Princeton A.C.,Army,1891-10-31T00:00:00.000Z,12,12
70,4,Rutgers,New York University,1891-11-07T00:00:00.000Z,70,4
36,10,UMass,Worcester Polytechnic,1891-11-07T00:00:00.000Z,36,10
14,12,Army,Stevens,1891-11-07T00:00:00.000Z,14,12
34,4,Navy,Dickinson,1891-11-14T00:00:00.000Z,34,4
6,27,Army,Rutgers,1891-11-14T00:00:00.000Z,27,6
12,58,Michigan,Cornell,1891-11-21T00:00:00.000Z,58,12
16,6,UMass,Holy Cross,1891-11-26T00:00:00.000Z,16,6
16,32,Navy,Army,1891-11-28T00:00:00.000Z,32,16
10,28,Worcester Polytechnic,UMass,1892-10-08T00:00:00.000Z,28,10
18,10,Minnesota,Minnesota Alumni,1892-10-08T00:00:00.000Z,18,10
22,10,Orange A.C.,Rutgers,1892-10-08T00:00:00.000Z,22,10
58,10,Amherst College,UMass,1892-10-12T00:00:00.000Z,58,10
16,16,Northwestern,Illinois,1892-10-12T00:00:00.000Z,16,16
10,10,Mount Hermon,UMass,1892-10-15T00:00:00.000Z,10,10
0,28,Navy,Princeton,1892-10-15T00:00:00.000Z,28,0
8,16,Lafayette,Rutgers,1892-10-15T00:00:00.000Z,16,8
18,4,UMass,Worcester Polytechnic,1892-10-19T00:00:00.000Z,18,4
40,24,Minnesota,Grinnell,1892-10-22T00:00:00.000Z,40,24
22,4,Navy,Lafayette,1892-10-22T00:00:00.000Z,22,4
12,22,Williston,UMass,1892-10-26T00:00:00.000Z,22,12
26,4,Kansas,Illinois,1892-10-27T00:00:00.000Z,26,4
10,24,Rutgers,Lafayette,1892-10-29T00:00:00.000Z,24,10
10,8,Northwestern,Michigan,1892-10-29T00:00:00.000Z,10,8
40,6,Purdue,Butler,1892-10-29T00:00:00.000Z,40,6
22,6,Stevens,Rutgers,1892-11-02T00:00:00.000Z,22,6
38,0,Illinois,Englewood High,1892-11-05T00:00:00.000Z,38,0
60,8,Michigan,Albion,1892-11-05T00:00:00.000Z,60,8
48,12,Navy,Rutgers,1892-11-05T00:00:00.000Z,48,12
18,12,Minnesota,Northwestern,1892-11-08T00:00:00.000Z,18,12
26,24,Michigan,Oberlin,1892-11-19T00:00:00.000Z,26,24
40,0,Navy,Georgetown,1892-11-19T00:00:00.000Z,40,0
18,16,Springfield,UMass,1892-11-19T00:00:00.000Z,18,16
10,30,Michigan,Cornell,1892-11-22T00:00:00.000Z,30,10
28,12,Illinois,Chicago,1892-11-24T00:00:00.000Z,28,12
12,46,UMass,Harvard Freshmen,1892-11-26T00:00:00.000Z,46,12
4,12,Army,Navy,1892-11-26T00:00:00.000Z,12,4
0,50,Syracuse,Cornell,1893-09-30T00:00:00.000Z,50,0
60,6,Illinois,Wabash College,1893-09-30T00:00:00.000Z,60,6
36,6,Minnesota,Grinnell,1893-10-21T00:00:00.000Z,36,6
96,0,Purdue,Butler,1893-10-21T00:00:00.000Z,96,0
2,16,UMass,Amherst College,1893-10-25T00:00:00.000Z,16,2
20,10,Purdue,Chicago,1893-10-25T00:00:00.000Z,20,10
20,34,Michigan,Minnesota,1893-10-28T00:00:00.000Z,34,20
48,8,Purdue,Wabash College,1893-11-04T00:00:00.000Z,48,8
18,34,Michigan,Wisconsin,1893-11-04T00:00:00.000Z,34,18
24,34,Illinois,Oberlin,1893-11-06T00:00:00.000Z,34,24
18,11,Army,Trinity (CT),1893-11-11T00:00:00.000Z,18,11
8,46,Purdue,Michigan,1893-11-11T00:00:00.000Z,46,8
54,0,Mount Hermon,UMass,1893-11-11T00:00:00.000Z,54,0
38,22,Northwestern,Lake Forest,1893-11-11T00:00:00.000Z,38,22
72,6,Michigan,Northwestern,1893-11-18T00:00:00.000Z,72,6
4,36,Army,Princeton,1893-11-18T00:00:00.000Z,36,4
36,30,Wisconsin,Purdue,1893-11-18T00:00:00.000Z,36,30
26,26,Illinois,Purdue,1893-11-25T00:00:00.000Z,26,26
46,6,Springfield,UMass,1893-11-25T00:00:00.000Z,46,6
